Fecha,Institución,Pacientes,Positivos,En_estudio
25/04/2020,HCG,18,3,15
25/04/2020,ISSSTE,2,0,2
25/04/2020,IMSS,61,19,42
25/04/2020,Privados,1,0,1
26/04/2020,SSJ,13,3,10
26/04/2020,HCG,18,3,15
26/04/2020,ISSSTE,2,0,2
26/04/2020,IMSS,63,18,45
26/04/2020,Privados,4,0,4
27/04/2020,SSJ,11,3,8
27/04/2020,HCG,20,3,17
27/04/2020,ISSSTE,2,0,2
27/04/2020,IMSS,73,19,54
27/04/2020,Privados,2,0,2
28/04/2020,SSJ,14,2,12
28/04/2020,HCG,20,5,15
28/04/2020,ISSSTE,2,0,2
28/04/2020,IMSS,65,18,47
28/04/2020,Privados,5,1,1
29/04/2020,SSJ,11,0,11
29/04/2020,HCG,21,6,15
29/04/2020,ISSSTE,4,0,4
29/04/2020,IMSS,69,19,50
29/04/2020,Privados,1,1,0
30/04/2020,SSJ,10,3,7
30/04/2020,HCG,19,6,13
30/04/2020,ISSSTE,5,0,5
30/04/2020,IMSS,64,20,44
30/04/2020,Privados,0,0,0
01/05/2020,SSJ,10,3,7
01/05/2020,HCG,19,5,14
01/05/2020,ISSSTE,6,0,6
01/05/2020,IMSS,64,20,44
01/05/2020,Privados,11,1,1
02/05/2020,SSJ,17,2,15
02/05/2020,HCG,16,4,12
02/05/2020,ISSSTE,4,0,4
02/05/2020,IMSS,70,20,50
02/05/2020,Privados,0,0,0
03/05/2020,SSJ,18,4,14
03/05/2020,HCG,18,4,14
03/05/2020,ISSSTE,3,0,3
03/05/2020,IMSS,63,15,48
03/05/2020,Privados,1,1,4
04/05/2020,SSJ,19,3,16
04/05/2020,HCG,18,4,14
04/05/2020,ISSSTE,3,0,3
04/05/2020,IMSS,82,17,65
04/05/2020,Privados,2,1,4
05/05/2020,SSJ,21,5,16
05/05/2020,HCG,20,6,14
05/05/2020,ISSSTE,2,0,2
05/05/2020,IMSS,84,25,59
05/05/2020,Privados,4,3,6
06/05/2020,SSJ,20,6,14
